dtime,time,open,high,low,close,vwap,volume,count
2020-08-11,1597104000,11898.7,11939.0,11133.0,11391.7,11504.7,7265.36658733,28468
2020-08-12,1597190400,11391.6,11620.0,11163.0,11576.6,11455.6,4049.32104614,16814
2020-08-13,1597276800,11576.7,11799.0,11269.0,11794.6,11564.6,4296.45387091,20630
2020-08-14,1597363200,11794.8,11867.1,11658.5,11772.6,11759.1,3549.5733847,16174
2020-08-15,1597449600,11775.0,11988.0,11675.0,11858.3,11869.9,3176.27440204,15492
2020-08-16,1597536000,11855.6,11939.5,11701.0,11916.8,11829.9,1955.26237298,11679
2020-08-17,1597622400,11919.9,12480.6,11775.0,12301.7,12174.9,6920.63243919,26337
2020-08-18,1597708800,12301.7,12393.7,11807.7,11957.0,12099.7,6055.4245285,25682
2020-08-19,1597795200,11955.2,12020.0,11569.4,11757.4,11769.0,5945.74455341,23240
2020-08-20,1597881600,11757.2,11899.7,11675.0,11864.6,11811.3,3273.1438885,14235
2020-08-21,1597968000,11864.5,11884.8,11500.0,11522.7,11701.1,3996.10639778,21231
2020-08-22,1598054400,11522.7,11687.0,11350.0,11672.7,11519.6,2777.53556332,15446
2020-08-23,1598140800,11672.7,11715.0,11525.2,11652.6,11632.6,1207.43793131,8026
2020-08-24,1598227200,11653.2,11821.9,11600.0,11764.8,11741.4,2158.19547377,12407
2020-08-25,1598313600,11760.5,11768.8,11120.0,11330.0,11415.3,5257.9630376,22127
2020-08-26,1598400000,11330.1,11539.0,11251.7,11469.5,11413.2,2742.52781267,14088
2020-08-27,1598486400,11469.6,11598.8,11128.4,11327.9,11326.7,4707.31018559,17072
2020-08-28,1598572800,11327.9,11549.7,11283.8,11532.6,11454.3,2688.00400619,14308
2020-08-29,1598659200,11531.0,11580.0,11408.1,11480.9,11500.5,1489.53499146,8934
2020-08-30,1598745600,11480.9,11715.0,11469.0,11713.1,11623.0,1357.35993004,9414
2020-08-31,1598832000,11713.0,11785.0,11580.0,11656.9,11694.6,2463.34774191,11046
2020-09-01,1598918400,11657.2,12068.6,11532.8,11926.8,11883.7,4033.23011004,19524
2020-09-02,1599004800,11926.3,11955.3,11187.0,11396.9,11478.9,6177.247378,25067
2020-09-03,1599091200,11399.2,11478.0,10025.0,10180.1,10760.9,10567.1521481,37840
2020-09-04,1599177600,10180.0,10634.8,9914.6,10463.6,10339.9,7291.88858934,27799
2020-09-05,1599264000,10463.5,10565.0,9856.3,10162.2,10142.4,6725.52374424,25088
2020-09-06,1599350400,10164.0,10345.0,10010.0,10253.1,10192.9,2497.15786405,12030
2020-09-07,1599436800,10256.2,10415.3,9877.6,10377.4,10123.9,4070.35031772,16065
2020-09-08,1599523200,10377.5,10440.0,9850.0,10123.3,10075.4,5532.39183434,19272
2020-09-09,1599609600,10123.3,10350.0,9983.2,10229.7,10212.6,3169.4485066,12860
2020-09-10,1599696000,10229.5,10488.0,10227.5,10350.1,10354.4,3714.09087142,14946
2020-09-11,1599782400,10350.0,10411.3,10210.0,10398.2,10303.7,2682.48875246,11596
2020-09-12,1599868800,10398.1,10475.0,10280.0,10447.5,10390.8,2068.36599332,8651
2020-09-13,1599955200,10447.5,10573.0,10217.2,10328.2,10382.5,2427.79196668,9501
2020-09-14,1600041600,10328.2,10745.0,10251.2,10674.9,10562.2,4151.73228339,15823
2020-09-15,1600128000,10675.0,10935.0,10620.0,10785.2,10790.4,4280.92435538,17159
2020-09-16,1600214400,10785.2,11097.9,10670.2,10951.1,10941.8,4155.03620984,43022
2020-09-17,1600300800,10951.3,11043.2,10750.3,10944.8,10878.9,3387.9454468,25530
2020-09-18,1600387200,10944.8,11039.1,10818.0,10934.7,10921.9,2354.54057504,11516
2020-09-19,1600473600,10934.8,11178.2,10898.9,11080.7,11035.0,1827.56916142,8709
2020-09-20,1600560000,11078.0,11078.0,10766.2,10918.5,10901.4,2298.82352174,9810
2020-09-21,1600646400,10918.6,10985.0,10300.0,10415.0,10559.2,6425.34807722,20636
2020-09-22,1600732800,10417.9,10570.0,10362.8,10532.5,10468.0,3177.44162823,11869
2020-09-23,1600819200,10531.2,10534.0,10134.6,10230.7,10373.4,4306.72297782,15264
2020-09-24,1600905600,10230.7,10788.3,10192.4,10740.2,10505.6,4593.25293705,16781
2020-09-25,1600992000,10738.9,10761.6,10565.0,10695.1,10666.4,3847.35826784,14508
2020-09-26,1601078400,10695.3,10835.0,10662.2,10733.3,10725.8,1457.36381544,7371
